Country of birth,2011 Census (number),2021 Census (number)
Middle East and Asia: Southern Asia: India,694148,920360
Europe: Other Europe: Poland,579121,743085
Middle East and Asia: Southern Asia: Pakistan,482137,623555
Europe: Other Europe: Romania,79687,538840
Europe: Other Europe: Ireland,407357,324670
Europe: Other Europe: Italy,134619,276670
Middle East and Asia: Southern Asia: Bangladesh,211500,273040
Africa: Central and Western Africa: Nigeria,191183,270770
Europe: Other Europe: Germany,273564,263365
Africa: South and Eastern Africa: South Africa,191023,217180
