NOC,Medal Type,Count
United States,Gold,40
China,Gold,40
Great Britain,Gold,14
France,Gold,16
Australia,Gold,18
Japan,Gold,20
Italy,Gold,12
Netherlands,Gold,15
Germany,Gold,12
South Korea,Gold,13
Canada,Gold,9
New Zealand,Gold,10
Brazil,Gold,3
Hungary,Gold,6
Spain,Gold,5
United States,Silver,44
China,Silver,27
Great Britain,Silver,22
France,Silver,26
Australia,Silver,19
Japan,Silver,12
Italy,Silver,13
Netherlands,Silver,7
Germany,Silver,13
South Korea,Silver,9
Canada,Silver,7
New Zealand,Silver,7
Brazil,Silver,7
Hungary,Silver,7
Spain,Silver,4
United States,Bronze,42
China,Bronze,24
Great Britain,Bronze,29
France,Bronze,22
Australia,Bronze,16
Japan,Bronze,13
Italy,Bronze,15
Netherlands,Bronze,12
Germany,Bronze,8
South Korea,Bronze,10
Canada,Bronze,11
New Zealand,Bronze,3
Brazil,Bronze,10
Hungary,Bronze,6
Spain,Bronze,9
